- User-space buf. size: 100
- syscall return val:   325
- User-space buf. size: 200
- syscall return val:   325
- User-space buf. size: 400
- syscall return val:   325
--- OK ---

#comm,pid,ppid,fcldpid,nsblpid,nvcsw,nivcsw,stime
swapper/0,0,0,1,0,0,90738,0
-systemd,1,0,412,2,3858,2376,0
--systemd-journal,412,1,0,430,2077,680,4
--systemd-oomd,430,1,0,451,5396,87,4
--systemd-timesyn,451,1,0,456,170,63,5
--vmware-vmblock-,456,1,0,465,1,1,5
--systemd-udevd,465,1,0,492,1541,324,5
--systemd-resolve,492,1,0,1273,382,89,5
--VGAuthService,1273,1,0,1319,48,74,7
--vmtoolsd,1319,1,0,1472,73649,638,7
--avahi-daemon,1472,1,1534,1473,529,33,7
---avahi-daemon,1534,1472,0,0,2,2,7
--dbus-daemon,1473,1,0,1477,4815,1437,7
--gnome-remote-de,1477,1,0,1480,114,46,7
--polkitd,1480,1,0,1494,1081,650,7
--snapd,1494,1,0,1502,516,202,7
--accounts-daemon,1502,1,0,1505,181,118,7
--cron,1505,1,0,1507,131,10,7
--switcheroo-cont,1507,1,0,1509,43,90,7
--systemd-logind,1509,1,0,1518,2055,227,7
--udisksd,1518,1,0,1528,527,528,7
--rsyslogd,1528,1,0,1577,37,49,7
--NetworkManager,1577,1,0,1585,631,230,8
--wpa_supplicant,1585,1,0,1622,681,22,8
--ModemManager,1622,1,0,1717,242,142,8
--cupsd,1717,1,0,1724,104,43,9
--unattended-upgr,1724,1,0,1741,114,149,9
--cups-browsed,1741,1,0,1742,318,34,9
--gdm3,1742,1,2465,1839,122,120,9
---gdm-session-wor,2465,1742,2537,0,50,30,19
----gdm-wayland-ses,2537,2465,2543,0,20,31,23
-----gnome-session-b,2543,2537,0,0,99,89,23
--rtkit-daemon,1839,1,0,1923,83,71,9
--power-profiles-,1923,1,0,2053,154,138,10
--colord,2053,1,0,2099,153,69,12
--upowerd,2099,1,0,2471,170,57,12
--systemd,2471,1,2472,3539,734,634,22
---(sd-pam),2472,2471,0,2485,1,0,23
---mpris-proxy,2485,2471,0,2486,231,28,23
---pipewire,2486,2471,0,2487,139,112,23
---pipewire,2487,2471,0,2490,10,30,23
---snapd-desktop-i,2490,2471,2853,2491,530,436,23
----snapd-desktop-i,2853,2490,0,0,313,544,25
---wireplumber,2491,2471,0,2492,119,217,23
---pipewire-pulse,2492,2471,0,2493,75,128,23
---dbus-daemon,2493,2471,0,2498,2986,1407,23
---gnome-keyring-d,2498,2471,0,2602,383,65,23
---xdg-document-po,2602,2471,0,2614,292,41,24
---xdg-permission-,2614,2471,0,2653,11,9,24
---gcr-ssh-agent,2653,2471,0,2654,5,15,24
---gnome-session-c,2654,2471,0,2668,4,16,24
---gvfsd,2668,2471,3316,2679,109,13,24
----gvfsd-trash,3316,2668,0,0,67,36,27
---gvfsd-fuse,2679,2471,0,2682,5,2,24
---gnome-session-b,2682,2471,2724,2726,396,417,24
----at-spi-bus-laun,2724,2682,2735,2927,33,9,24
-----dbus-daemon,2735,2724,0,0,128,20,24
----evolution-alarm,2927,2682,0,2947,205,129,26
----gsd-disk-utilit,2947,2682,0,3831,36,13,26
----update-notifier,3831,2682,0,0,149,81,85
---gnome-shell,2726,2471,3228,2794,62998,2617,24
----Xwayland,3228,2726,0,3415,655,139,26
----mutter-x11-fram,3415,2726,0,0,173,236,27
---at-spi2-registr,2794,2471,0,2852,92,50,25
---evolution-sourc,2852,2471,0,2860,212,139,25
