- User-space buf. size: 100
- syscall return val:   335
- User-space buf. size: 200
- syscall return val:   335
- User-space buf. size: 400
- syscall return val:   335
--- OK ---

#comm,pid,ppid,fcldpid,nsblpid,nvcsw,nivcsw,stime
swapper/0,0,0,1,0,0,29157,0
-systemd,1,0,410,2,2668,3683,0
--systemd-journal,410,1,0,430,1389,313,5
--systemd-oomd,430,1,0,450,1095,85,5
--vmware-vmblock-,450,1,0,453,1,0,5
--systemd-timesyn,453,1,0,461,97,63,5
--systemd-udevd,461,1,0,489,1242,763,5
--systemd-resolve,489,1,0,1047,198,38,6
--VGAuthService,1047,1,0,1051,47,18,7
--vmtoolsd,1051,1,0,1184,12979,154,7
--avahi-daemon,1184,1,1281,1186,416,50,8
---avahi-daemon,1281,1184,0,0,3,0,9
--dbus-daemon,1186,1,0,1199,3114,891,8
--gnome-remote-de,1199,1,0,1207,99,68,8
--polkitd,1207,1,0,1228,713,414,8
--snapd,1228,1,0,1243,482,263,9
--accounts-daemon,1243,1,0,1245,159,154,9
--cron,1245,1,0,1246,32,10,9
--switcheroo-cont,1246,1,0,1259,131,95,9
--systemd-logind,1259,1,0,1261,1475,229,9
--udisksd,1261,1,0,1328,414,369,9
--rsyslogd,1328,1,0,1363,37,33,9
--NetworkManager,1363,1,0,1371,499,689,9
--wpa_supplicant,1371,1,0,1484,157,17,9
--ModemManager,1484,1,0,1780,183,139,10
--cupsd,1780,1,0,1790,92,29,12
--unattended-upgr,1790,1,0,1799,115,76,12
--sshd,1799,1,3397,1815,11,36,12
---sshd-session,3397,1799,3431,0,29,1,874
----sshd-session,3431,3397,3432,0,2670,114,877
-----sh,3432,3431,3450,0,29,1,877
------code-7d842fb85a,3450,3432,0,4106,2012,111,877
------sleep,4106,3432,0,0,1,0,1057
--cups-browsed,1815,1,0,1817,214,64,12
--gdm3,1817,1,1829,1821,68,79,12
---gdm-session-wor,1829,1817,1943,0,96,54,12
----gdm-wayland-ses,1943,1829,1954,0,17,31,13
-----gnome-session-b,1954,1943,0,0,157,86,13
--power-profiles-,1821,1,0,1871,80,84,12
