UID          PID    PPID     LWP  C NLWP    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0       1  0    1  6314 15460   2 Nov11 ?        00:00:03 /sbin/init auto automatic-ubiquity noprompt
root           2       0       2  0    1     0     0   3 Nov11 ?        00:00:00 [kthreadd]
root           3       2       3  0    1     0     0   0 Nov11 ?        00:00:00 [pool_workqueue_release]
root           4       2       4  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2       5  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/R-sync_wq]
root           6       2       6  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root           7       2       7  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2       8  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/R-netns]
root          10       2      10  0    1     0     0   0 Nov11 ?        00:00:01 [kworker/0:1-events]
root          11       2      11  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/0:0H-events_highpri]
root          13       2      13  0    1     0     0   0 Nov11 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2      14  0    1     0     0   0 Nov11 ?        00:00:00 [rcu_tasks_kthread]
root          15       2      15  0    1     0     0   0 Nov11 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2      16  0    1     0     0   0 Nov11 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2      17  0    1     0     0   0 Nov11 ?        00:00:00 [ksoftirqd/0]
root          18       2      18  0    1     0     0   2 Nov11 ?        00:00:01 [rcu_preempt]
root          19       2      19  0    1     0     0   2 Nov11 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/1]
root          20       2      20  0    1     0     0   2 Nov11 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          21       2      21  0    1     0     0   0 Nov11 ?        00:00:00 [migration/0]
root          22       2      22  0    1     0     0   0 Nov11 ?        00:00:00 [idle_inject/0]
root          23       2      23  0    1     0     0   0 Nov11 ?        00:00:00 [cpuhp/0]
root          24       2      24  0    1     0     0   1 Nov11 ?        00:00:00 [cpuhp/1]
root          25       2      25  0    1     0     0   1 Nov11 ?        00:00:00 [idle_inject/1]
root          26       2      26  0    1     0     0   1 Nov11 ?        00:00:00 [migration/1]
root          27       2      27  0    1     0     0   1 Nov11 ?        00:00:00 [ksoftirqd/1]
root          28       2      28  0    1     0     0   1 Nov11 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root          29       2      29  0    1     0     0   1 Nov11 ?        00:00:00 [kworker/1:0H-events_highpri]
root          30       2      30  0    1     0     0   2 Nov11 ?        00:00:00 [cpuhp/2]
root          31       2      31  0    1     0     0   2 Nov11 ?        00:00:00 [idle_inject/2]
root          32       2      32  0    1     0     0   2 Nov11 ?        00:00:00 [migration/2]
root          33       2      33  0    1     0     0   2 Nov11 ?        00:00:00 [ksoftirqd/2]
root          35       2      35  0    1     0     0   2 Nov11 ?        00:00:00 [kworker/2:0H-kblockd]
